Position(mm),Force(kgf),Velocity(mm/s),Time(s)
37.871,0,100.056,0.32
37.871,0,100.056,0.32
37.971,0,100.05,0.32
37.971,0,100.05,0.32
38.071,0,100.05,0.32
38.071,0,100.05,0.32
38.171,0,100.05,0.32
38.171,0,100.05,0.32
38.271,0,100.044,0.32
38.271,0,100.044,0.32
38.371,0,100.05,0.32
38.371,0,100.05,0.32
38.471,0,100.05,0.32
38.471,0,100.05,0.32
38.571,0,100.056,0.32
38.571,0,100.056,0.32
38.671,0,100.05,0.32
38.671,0,100.05,0.32
38.771,0,100.05,0.33
38.771,0,100.05,0.33
38.871,0,100.05,0.33
38.871,0,100.05,0.33
38.971,0,100.056,0.33
38.971,0,100.056,0.33
39.071,0,100.056,0.33
39.071,0,100.056,0.33
39.171,0,100.056,0.33
39.171,0,100.056,0.33
39.271,0,100.056,0.33
39.271,0,100.056,0.33
39.371,0,100.05,0.33
39.371,0,100.05,0.33
39.471,0,100.044,0.33
39.471,0,100.044,0.33
39.571,0,100.039,0.33
39.571,0,100.039,0.33
39.671,0,100.033,0.33
39.671,0,100.033,0.33
39.771,0,100.022,0.34
39.771,0,100.022,0.34
39.871,0,100.017,0.34
39.871,0,100.017,0.34
39.971,0,100.011,0.34
39.971,0,100.011,0.34
40.071,0,100,0.34
40.071,0,100,0.34
40.171,0,99.994,0.34
40.171,0,99.994,0.34
40.271,0,99.989,0.34
40.271,0,99.989,0.34
40.371,0,99.983,0.34
40.371,0,99.983,0.34
40.471,0,99.978,0.34
40.471,0,99.978,0.34
40.571,0,99.972,0.34
40.571,0,99.972,0.34
40.671,0,99.967,0.34
40.671,0,99.967,0.34
40.771,0,99.961,0.35
40.771,0,99.961,0.35
40.871,0,99.961,0.35
40.871,0,99.961,0.35
40.97,0,99.961,0.35
40.97,0,99.961,0.35
41.07,0,99.961,0.35
41.07,0,99.961,0.35
41.17,0,99.95,0.35
41.17,0,99.95,0.35
41.27,0,99.944,0.35
41.27,0,99.944,0.35
41.37,0,99.939,0.35
41.37,0,99.939,0.35
41.47,0,99.939,0.35
41.47,0,99.939,0.35
41.57,0,99.939,0.35
41.57,0,99.939,0.35
41.67,0,99.939,0.35
41.67,0,99.939,0.35
41.77,0,99.944,0.36
41.77,0,99.944,0.36
41.87,0,99.944,0.36
41.87,0,99.944,0.36
41.87,0,99.944,0.36
41.87,0,99.944,0.36
41.97,0,99.944,0.36
41.97,0,99.944,0.36
42.07,0,99.95,0.36
42.07,0,99.95,0.36
42.17,0,99.95,0.36
42.17,0,99.95,0.36
42.27,0,99.95,0.36
42.27,0,99.95,0.36
42.37,0,99.95,0.36
42.37,0,99.95,0.36
42.47,0,99.961,0.36
42.47,0,99.961,0.36
42.57,0,99.967,0.36
42.57,0,99.967,0.36
42.67,0,99.978,0.36
42.67,0,99.978,0.36
42.77,0,99.989,0.37
42.77,0,99.989,0.37
42.87,0,99.994,0.37
42.87,0,99.994,0.37
42.97,0,100.006,0.37
42.97,0,100.006,0.37
43.07,0,100.011,0.37
43.07,0,100.011,0.37
43.17,0,100.022,0.37
43.17,0,100.022,0.37
43.27,0,100.028,0.37
43.27,0,100.028,0.37
43.37,0,100.033,0.37
43.37,0,100.033,0.37
43.37,0,100.033,0.37
43.37,0,100.033,0.37
43.471,0,100.039,0.37
43.471,0,100.039,0.37
43.571,0,100.044,0.37
43.571,0,100.044,0.37
43.671,0,100.05,0.37
43.671,0,100.05,0.37
43.771,0,100.05,0.38
43.771,0,100.05,0.38
43.871,0,100.056,0.38
43.871,0,100.056,0.38
43.971,0,100.061,0.38
43.971,0,100.061,0.38
44.071,0,100.061,0.38
44.071,0,100.061,0.38
44.171,0,100.067,0.38
44.171,0,100.067,0.38
44.271,0,100.072,0.38
44.271,0,100.072,0.38
44.371,0,100.067,0.38
44.371,0,100.067,0.38
44.471,0,100.067,0.38
44.471,0,100.067,0.38
44.571,0,100.056,0.38
44.571,0,100.056,0.38
44.671,0,100.05,0.38
44.671,0,100.05,0.38
44.771,0,100.039,0.39
44.771,0,100.039,0.39
44.871,0,100.033,0.39
44.871,0,100.033,0.39
44.971,0,100.033,0.39
44.971,0,100.033,0.39
45.071,0,100.033,0.39
45.071,0,100.033,0.39
45.171,0,100.033,0.39
45.171,0,100.033,0.39
45.271,0,100.033,0.39
45.271,0,100.033,0.39
45.371,0,100.033,0.39
45.371,0,100.033,0.39
45.471,0,100.028,0.39
45.471,0,100.028,0.39
45.571,0,100.028,0.39
45.571,0,100.028,0.39
45.671,0,100.028,0.39
45.671,0,100.028,0.39
45.771,0,100.028,0.4
45.771,0,100.028,0.4
45.871,0,100.028,0.4
45.871,0,100.028,0.4
45.971,0,100.022,0.4
45.971,0,100.022,0.4
46.071,0,100.017,0.4
46.071,0,100.017,0.4
46.171,0,100.011,0.4
46.171,0,100.011,0.4
46.171,0,100.011,0.4
46.171,0,100.011,0.4
46.271,0,100.006,0.4
46.271,0,100.006,0.4
46.371,0,100,0.4
46.371,0,100,0.4
